Time	EMG	Muscle Force
0	0	0.249488
0.001	0	0.249117
0.002	0	0.249488
0.003	0	0.249117
0.004	0	0.249117
0.005	0	0.249117
0.006	0	0.249117
0.007	0	0.249117
0.008	0	0.249117
0.009	0	0.249117
0.01	0	0.249117
0.011	0	0.249117
0.012	0	0.249117
0.013	0	0.249117
0.014	0	0.248747
0.015	0	0.249117
0.016	0	0.248747
0.017	0	0.248747
0.018	0	0.248747
0.019	0	0.248747
0.02	0	0.248747
0.021	0	0.248747
0.022	0	0.248747
0.023	0	0.248747
0.024	0	0.248747
0.025	0	0.248747
0.026	0	0.248747
0.027	0	0.248747
0.028	0	0.248747
0.029	0	0.248747
0.03	0	0.248747
0.031	0	0.248747
0.032	0	0.248747
0.033	0	0.248747
0.034	0	0.249117
0.035	0	0.248747
0.036	0	0.249117
0.037	0	0.248747
0.038	0	0.248747
0.039	0	0.248747
0.04	0	0.248747
0.041	0	0.249117
0.042	0	0.248747
0.043	0	0.248747
0.044	0	0.248747
0.045	0	0.248747
0.046	0	0.249117
0.047	0	0.248747
0.048	0	0.249117
0.049	0	0.249117
0.05	0	0.249117
0.051	0.0717501	0.249117
0.052	0.00887986	0.249117
0.053	-0.00890051	0.249117
0.054	-0.0645091	0.249117
0.055	-0.0809665	0.249117
0.056	-0.0318783	0.249117
0.057	0.0216814	0.249117
0.058	0.0263216	0.249117
0.059	0.0403559	0.249117
0.06	0.0429397	0.249117
0.061	0.0252189	0.249117
0.062	0.0134887	0.249117
0.063	-0.0428115	0.249117
0.064	-0.0648987	0.249117
0.065	-0.0355974	0.249117
0.066	0.0233642	0.249117
0.067	0.0509375	0.249117
0.068	0.00585272	0.249117
0.069	-0.0390528	0.249117
0.07	0.00526312	0.249117
0.071	0.0165659	0.249117
0.072	0.0129889	0.249117
0.073	0.0273664	0.249117
0.074	0.0133924	0.249117
0.075	-0.0462788	0.249117
0.076	-0.0476773	0.249117
0.077	0.000343395	0.249117
0.078	0.0229456	0.249117
0.079	-0.0132226	0.249117
0.08	0.0428913	0.249117
0.081	0.0332761	0.249117
0.082	-0.0319931	0.249117
0.083	-0.029728	0.249117
0.084	0.0689059	0.249117
0.085	0.00140854	0.249117
0.086	-0.105583	0.249117
0.087	-0.0345088	0.249117
0.088	0.0441027	0.249117
0.089	0.059614	0.249117
0.09	0.0317553	0.249117
0.091	0.0103486	0.249117
0.092	-0.0164936	0.249117
0.093	-0.0434912	0.249117
0.094	-0.0130679	0.249117
0.095	-0.0137813	0.249117
0.096	-0.0431632	0.249117
0.097	0.0141411	0.249117
0.098	0.0882081	0.249117
0.099	0.0281624	0.249117
0.1	0.0198211	0.249117
0.101	-0.0276659	0.249117
0.102	-0.0453367	0.249117
0.103	-0.0442272	0.249117
0.104	-0.0557155	0.249117
0.105	0.011017	0.249117
0.106	0.0863014	0.249117
0.107	0.0522791	0.249117
0.108	0.0192974	0.249117
0.109	0.000702823	0.249117
0.11	-0.0385323	0.249117
0.111	-0.0808992	0.249117
0.112	-0.0560608	0.249117
0.113	0.0249898	0.249117
0.114	0.0632833	0.249117
0.115	0.0446439	0.249117
0.116	0.0583232	0.249117
0.117	-0.00409238	0.249117
0.118	-0.0922911	0.249117
0.119	-0.0327695	0.249117
0.12	-0.0239902	0.249117
0.121	0.00457918	0.249117
0.122	0.0173309	0.249117
0.123	0.0591274	0.249117
0.124	0.0610311	0.249117
0.125	-0.0271213	0.249117
0.126	-0.039471	0.249117
0.127	0.00315954	0.249117
0.128	-0.0123723	0.249117
0.129	-0.0426208	0.249117
