Time	EMG	Muscle Force
0	0	0.249117
0.001	0	0.249117
0.002	0	0.249117
0.003	0	0.249117
0.004	0	0.248747
0.005	0	0.248747
0.006	0	0.248747
0.007	0	0.248747
0.008	0	0.248747
0.009	0	0.248747
0.01	0	0.248747
0.011	0	0.248747
0.012	0	0.248747
0.013	0	0.248747
0.014	0	0.248747
0.015	0	0.248747
0.016	0	0.248747
0.017	0	0.248747
0.018	0	0.248747
0.019	0	0.248747
0.02	0	0.248747
0.021	0	0.248747
0.022	0	0.248747
0.023	0	0.248747
0.024	0	0.248747
0.025	0	0.248747
0.026	0	0.248747
0.027	0	0.248747
0.028	0	0.248747
0.029	0	0.248747
0.03	0	0.248747
0.031	0	0.248747
0.032	0	0.248747
0.033	0	0.248747
0.034	0	0.248747
0.035	0	0.248747
0.036	0	0.248747
0.037	0	0.248747
0.038	0	0.248747
0.039	0	0.248747
0.04	0	0.248747
0.041	0	0.248747
0.042	0	0.248747
0.043	0	0.248747
0.044	0	0.248747
0.045	0	0.248747
0.046	0	0.248747
0.047	0	0.248747
0.048	0	0.248747
0.049	0	0.248747
0.05	0	0.248747
0.051	0.0596245	0.248747
0.052	-0.0271	0.248747
0.053	-0.112615	0.248747
0.054	-0.0599985	0.248747
0.055	0.00851273	0.248747
0.056	-0.00167253	0.248747
0.057	0.0192381	0.248747
0.058	0.0831048	0.248747
0.059	0.0441876	0.248747
0.06	-0.0246138	0.248747
0.061	-0.0604369	0.248747
0.062	-0.0332451	0.248747
0.063	-0.0251572	0.248747
0.064	0.0393136	0.249117
0.065	0.027626	0.248747
0.066	0.0151137	0.249117
0.067	0.0170491	0.249117
0.068	0.0354122	0.248747
0.069	-0.0585959	0.248747
0.07	-0.0480187	0.249117
0.071	0.0212343	0.248747
0.072	-0.0490336	0.249117
0.073	-0.0697022	0.249117
0.074	0.0740005	0.248747
0.075	0.134564	0.248747
0.076	0.086377	0.248747
0.077	-0.0383132	0.248747
0.078	-0.0931923	0.249117
0.079	-0.106479	0.248747
0.08	-0.0537474	0.248747
0.081	0.0581547	0.249117
0.082	0.0869607	0.249117
0.083	-0.00237975	0.249117
0.084	-0.0500158	0.249117
0.085	0.0248982	0.249117
0.086	0.0540251	0.249117
0.087	0.0375355	0.249117
0.088	-0.00162935	0.249117
0.089	-0.0320778	0.248747
0.09	-0.0909678	0.249117
0.091	-0.0711526	0.249117
0.092	0.0321797	0.248747
0.093	0.0645727	0.249117
0.094	0.0336656	0.248747
0.095	-0.0122409	0.248747
0.096	0.00314912	0.249117
0.097	0.0471489	0.248747
0.098	0.0437986	0.249117
0.099	-0.00806633	0.249117
0.1	-0.0963191	0.248747
0.101	-0.104555	0.248747
0.102	-0.019997	0.248747
0.103	0.058672	0.248747
0.104	0.09124	0.248747
0.105	0.0481505	0.248747
